Id,Relation
6639,Expansion
6640,Contingency
6641,Contingency
6642,Expansion
6643,Expansion
6644,Expansion
6645,Expansion
6646,Temporal
6647,Contingency
6648,Comparison
6649,Contingency
6650,Temporal
6651,Expansion
6652,Expansion
6653,Temporal
6654,Contingency
6655,Comparison
6656,Expansion
6657,Temporal
6658,Comparison
6659,Comparison
6660,Expansion
6661,Comparison
6662,Expansion
6663,Expansion
6664,Expansion
6665,Expansion
6666,Expansion
6667,Contingency
6668,Contingency
6669,Expansion
6670,Contingency
6671,Contingency
6672,Expansion
6673,Contingency
6674,Expansion
6675,Comparison
6676,Comparison
6677,Expansion
6678,Expansion
6679,Expansion
6680,Expansion
6681,Contingency
6682,Contingency
6683,Contingency
6684,Expansion
6685,Temporal
6686,Contingency
6687,Contingency
6688,Expansion
6689,Contingency
6690,Expansion
6691,Contingency
6692,Contingency
6693,Contingency
6694,Expansion
6695,Expansion
6696,Expansion
6697,Expansion
6698,Comparison
6699,Temporal
6700,Temporal
6701,Expansion
6702,Expansion
6703,Expansion
6704,Temporal
6705,Contingency
6706,Expansion
6707,Expansion
6708,Contingency
6709,Expansion
6710,Expansion
6711,Temporal
6712,Comparison
6713,Contingency
6714,Temporal
6715,Expansion
6716,Expansion
6717,Contingency
6718,Contingency
6719,Contingency
6720,Comparison
6721,Contingency
6722,Expansion
6723,Temporal
6724,Expansion
6725,Expansion
6726,Contingency
6727,Contingency
6728,Expansion
6729,Contingency
6730,Expansion
6731,Temporal
6732,Expansion
6733,Temporal
6734,Expansion
6735,Expansion
6736,Temporal
6737,Expansion
6738,Contingency
6739,Contingency
6740,Expansion
6741,Expansion
6742,Expansion
6743,Expansion
6744,Temporal
6745,Expansion
6746,Temporal
6747,Expansion
6748,Contingency
6749,Temporal
6750,Expansion
6751,Contingency
6752,Expansion
6753,Contingency
6754,Expansion
6755,Temporal
6756,Temporal
6757,Comparison
6758,Contingency
6759,Contingency
6760,Expansion
6761,Expansion
6762,Expansion
6763,Contingency
6764,Comparison
6765,Expansion
6766,Expansion
6767,Expansion
6768,Expansion
6769,Temporal
6770,Comparison
6771,Comparison
6772,Comparison
6773,Contingency
6774,Expansion
6775,Contingency
6776,Comparison
6777,Contingency
6778,Temporal
6779,Expansion
6780,Contingency
6781,Expansion
6782,Expansion
6783,Expansion
6784,Contingency
6785,Temporal
6786,Contingency
6787,Expansion
6788,Expansion
6789,Contingency
6790,Temporal
6791,Expansion
6792,Expansion
6793,Temporal
6794,Expansion
6795,Contingency
6796,Contingency
6797,Expansion
6798,Expansion
6799,Expansion
6800,Expansion
6801,Expansion
6802,Expansion
6803,Expansion
6804,Contingency
6805,Expansion
6806,Expansion
6807,Expansion
6808,Contingency
6809,Expansion
6810,Comparison
6811,Contingency
6812,Expansion
6813,Contingency
6814,Expansion
6815,Expansion
6816,Contingency
6817,Comparison
6818,Contingency
6819,Expansion
6820,Expansion
6821,Contingency
6822,Expansion
6823,Expansion
6824,Comparison
6825,Comparison
6826,Expansion
6827,Contingency
6828,Expansion
6829,Temporal
6830,Expansion
6831,Expansion
6832,Comparison
6833,Contingency
6834,Temporal
6835,Contingency
6836,Contingency
6837,Expansion
6838,Expansion
6839,Contingency
6840,Expansion
6841,Comparison
6842,Comparison
6843,Contingency
6844,Contingency
6845,Expansion
6846,Contingency
6847,Contingency
6848,Expansion
6849,Expansion
6850,Expansion
6851,Expansion
6852,Contingency
6853,Comparison
6854,Expansion
6855,Expansion
6856,Temporal
6857,Expansion
6858,Comparison
6859,Expansion
6860,Contingency
6861,Comparison
6862,Contingency
6863,Expansion
6864,Expansion
6865,Contingency
6866,Temporal
6867,Temporal
6868,Expansion
6869,Expansion
6870,Contingency
6871,Comparison
6872,Expansion
6873,Temporal
6874,Contingency
6875,Contingency
6876,Comparison
6877,Expansion
6878,Expansion
6879,Comparison
6880,Expansion
6881,Expansion
6882,Contingency
6883,Contingency
6884,Contingency
6885,Expansion
6886,Expansion
6887,Expansion
6888,Expansion
6889,Comparison
6890,Contingency
6891,Expansion
6892,Expansion
6893,Expansion
6894,Expansion
6895,Comparison
